reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
GB-GOV-10,dhsc,Bilateral,UK - Department of Health and Social Care,DHSC,C0D2,No,Yes,2021,GB,12*10,Government,UK - Department of Health and Social Care (DHSC),UK
XM-DAC-21-1,irishaid,Bilateral,Ireland - Department of Foreign Affairs and Trade,, ,,,2020,IE,21,Government,Ireland - Department of Foreign Affairs and Trade,
XM-DAC-6-4,aics,Bilateral,Italy - Agency for Cooperation and Development,AICS,C0D0,,,2021,IT,6*4; 6*10; 6*12,Government,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,
XM-DAC-701-8,jica,Bilateral,Japan - International Cooperation Agency,JICA,C0D0,,,2015,JP,,Government,Japan International Cooperation Agency (JICA),
XM-DAC-701-2,mofa-jpn,Bilateral,Japan - Ministry of Foreign Affairs,MOFA,C0D0,,,2019,JP,,Government,Ministry of Foreign Affairs of  Japan,
XM-DAC-84,lithuania_mfa,Bilateral,Lithuania - Ministry of Foreign Affairs,, ,,,2017,LT,,Government,"Lithuania, Ministry of Foreign Affairs",
GB-GOV-13,beis,Bilateral,"UK - Department for Business, Energy and Industrial Strategy",BEIS,C2D2,Yes,Yes,2021,GB,12*11,Government,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",UK
GB-GOV-15,dit,Bilateral,UK - Department for International Trade,,C0D0,No,No,2020,GB,,Government,Department for International Trade,UK
GB-GOV-6,homeoffice,Bilateral,UK - Home Office,,C0D0,No,No,2021,GB,12*6,Government,UK - Home Office,UK
NL-KVK-27378529,rvo,Bilateral,Netherlands - Enterprise Agency,, ,Yes,Yes,2021,NL,,Government,Netherlands Enterprise Agency,Netherlands
XM-DAC-77,uasd,Bilateral,Romania - Ministry of Foreign Affairs,, ,,,#N/A,RO,,Government,Romania Ministry of Foreign Affairs,
XM-OCHA-HPC6770,ksrelief291,Bilateral,Saudi Arabia - King Salman Humanitarian Aid and Relief Centre,, ,,,#N/A,SA,,Government,King Salman Humanitarian Aid and Relief Centre,
XM-DAC-69-1,slovakaid,Bilateral,Slovak Republic - Ministry of Foreign and European Affairs,, ,,,2019,SK,,Government,Ministry of Foreign and European Affairs of the Slovak Republic,
XM-DAC-61-2,si-mfa,Bilateral,Slovenia - Ministry of Foreign Affairs,, ,,,2020,SI,,Government,Slovenia - Ministry of Foreign Affairs,
KR-GOV-010,odakorea,Bilateral,South Korea - Office for Government Policy Coordination,, ,,,2021,KR,,Government,Republic of Korea,
GB-COH-1115482,,,,,,,,,,,,,
NO-BRC-971277882,norad,Bilateral,Norway - Norway Agency for Development Cooperation,Norad,C1D2,No,Yes,2021,NO,8*1; etc,Government,Norad - Norwegian Agency for Development Cooperation,Norway
